Beholder Zombie; Large undead; neutral evil; 15; natural armor; 93; 11d10+33; 0 ft., fly 20 ft. (hover); 10; 8; 16; 3; 8; 5; Wis +2; ; ; poison; poisoned; Darkvision 60 ft., PP 9; understands Deep Speech and Undercommon but can't speak; 5; 1800; ; <i><b>Bite:</b> Melee Weapon Attack:</i> +3 to hit, reach 5 ft., one target. <i>Hit:</i> 14 (4d6) piercing damage.<br><br><i><b>Eye Ray:</b></i> The zombie uses a random magical eye ray, choosing a target that it can see within 60 feet of it.<br><br><i>1. Paralyzing Ray:</i> The targeted creature must succeed on a DC 14 Constitution saving throw or be paralyzed for 1 minute. The target can repeat the saving throw at the end of each of its turns, ending the effect on itself on a success.<br><i>2. Fear Ray:</i> The targeted creature must succeed on a DC 14 Wisdom saving throw or be frightened for 1 minute. The target can repeat the saving throw at the end of each of its turns, ending the effect on itself on a success.<br><i>3. Enervation Ray:</i> The targeted creature must make a DC 14 Constitution saving throw, taking 36 (8d8) necrotic damage on a failed save, or half as much damage on a successful one.<br><i>4. Disintegration Ray:</i> If the target is a creature, it must succeed on a DC 14 Dexterity saving throw or take 45 (10d8) force damage. If this damage reduces the creature to 0 hit points, its body becomes a pile of fine gray dust.<br>If the target is a Large or smaller non magical object or creation of magical force, it is disintegrated without a saving throw. If the target is a Huge or larger non magical object or creation of magical force, this ray disintegrates a 10-foot cube of it.; ; <i><b>Undead Fortitude:</b></i> If damage reduces the zombie to 0 hit points, it must make a Constitution saving throw with a DC of 5 +the damage taken, unless the damage is radiant or from a critical hit. On a success, the zombie drops to 1 hit point instead.
Shadow; Medium undead; chaotic evil; 12; ; 16; 3d8+3; 40 ft.; 6; 14; 13; 6; 10; 8; ; Stealth +4 (+6 in dim light or darkness); acid, cold, fire, lightning, thunder, bludgeoning, piercing and slashing from nonmagical weapons; necrotic, poison; exhaustion, frightened, grappled, paralyzed, petrified, poisoned, prone, restrained; Darkvision 60 ft., PP 10; ---; 1/2; 100; ; <i><b>Strength Drain:</b> Melee Weapon Attack:</i> +4 to hit, reach 5 ft., one creature. <i>Hit:</i> 9 (2d6+2) necrotic damage, and the target's Strength score is reduced by 1d4. The target dies if this reduces its Strength to 0. Otherwise, the reduction lasts until the target finishes a short or long rest.<br>If a non-evil humanoid dies from this attack, a new shadow rises from the corpse 1d4 hours later.; ; <i><b>Damage Vulnerabilities:</b></i> radiant<br><br><i><b>Amorphous:</b></i> The shadow can move through a space as narrow as 1 inch wide without squeezing.<br><br><i><b>Shadow Stealth:</b></i> While in dim light or darkness, the shadow can take the Hide action as a bonus action.<br><br><i><b>Sunlight Weakness:</b></i> While in sunlight, the shadow has disadvantage on attack rolls, ability checks, and saving throws.
Scarecrow; Medium construct; chaotic evil; 11; ; 36; 8d8; 30 ft.; 11; 13; 11; 10; 10; 13; ; ; bludgeoning, piercing, and slashing from nonmagical weapons; poison; charmed, exhaustion, frightened, paralyzed, poisoned, unconscious; Darkvision 60 ft., PP 10; understands the language of its creator but can't speak; 1; 200; ; <i><b>Multiattack:</b></i> The scarecrow makes two claw attacks.<br><br><i><b>Claw:</b> Melee Weapon Attack:</i> +3 to hit, reach 5 ft., one target. <i>Hit:</i> 6 (2d4+1) slashing damage. If the target is a creature, it must succeed on a DC 11 Wisdom saving throw or be frightened until the end of the scarecrow's next turn.<br><br><i><b>Terrifying Glare:</b></i> The scarecrow targets one creature it can see within 30 feet of it. If the target can see the scarecrow, the target must succeed on a DC 11 Wisdom saving throw or be magically frightened until the end of the scarecrow's next turn. The frightened target is paralyzed.; ; <i><b>Damage Vulnerabilities:</b></i> fire<br><br><i><b>False Appearance:</b></i> While the scarecrow remains motionless, it is indistinguishable from an ordinary, inanimate scarecrow.
Satyr; Medium fey; neutral; 14; leather armor; 31; 7d8; 40 ft.; 12; 16; 11; 12; 10; 14; ; Perception +2, Performance +6, Stealth +5; ; ; ; PP 12; Common, Elvish. Sylvan; 1/2; 100; ; <i><b>Ram:</b> Melee Weapon Attack:</i> +3 to hit, reach 5 ft., one target. <i>Hit:</i> 6 (2d4+1) bludgeoning damage.<br><br><i><b>Shortsword:</b> Melee Weapon Attack:</i> +5 to hit, reach 5 ft., one target. <i>Hit:</i> 6 (1d6+3) piercing damage.<br><br><i><b>Shortbow:</b> Ranged Weapon Attack:</i> +5 to hit, range 80/320 ft., one target. <i>Hit:</i> 6 (1d6+3) piercing damage.; ; <i><b>Magic Resistance:</b></i> The satyr has advantage on saving throws against spells and other magical effects.
Salamander; Large elemental; neutral evil; 15; natural armor; 90; 12d10+24; 30 ft.; 18; 14; 15; 11; 10; 12; ; ; bludgeoning, piercing, and slashing from nonmagical weapons; fire; ; Darkvision 60 ft., PP 10; Ignan; 5; 1800; ; <i><b>Multiattack:</b></i> The salamander makes two attacks: one with its spear and one with its tail.<br><br><i><b>Spear:</b> Melee or Ranged Weapon Attack:</i> +7 to hit, reach 5 ft. or range 20/60 ft., one target. <i>Hit:</i> 11 (2d6+4) piercing damage, or 13 (2d8+4) piercing damage if used with two hands to make a melee attack, plus 3 (1d6) fire damage.<br><br><i><b>Tail:</b> Melee Weapon Attack:</i> +7 to hit, reach 10 ft., one target. <i>Hit:</i> 11 (2d6+4) bludgeoning damage plus 7 (2d6) fire damage, and the target is grappled (escape DC 14). Until this grapple ends, the target is restrained, the salamander can automatically hit the target with its tail, and the salamander can't make tail attacks against other targets.; ; <i><b>Damage Vulnerabilities:</b></i> cold<br><br><i><b>Heated Body:</b></i> A creature that touches the snake or hits it with a melee attack while within 5 feet of it takes 3 (1d6) fire damage.<br><br><i><b>Heated Weapons:</b></i> Any metal melee weapon the salamander wields deals an extra 3 (1d6) fire damage on a hit (included in the attack).
Fire Snake; Medium elemental; neutral evil; 14; natural armor; 22; 5d8; 30 ft.; 12; 14; 11; 7; 10; 8; ; ; bludgeoning, piercing, and slashing from nonmagical weapons; fire; ; Darkvision 60 ft., PP 10; understands Ignan but can't speak; 1; 200; ; <i><b>Multiattack:</b></i> The snake makes two attacks: one with its bite and one with its tail.<br><br><i><b>Bite:</b> Melee Weapon Attack:</i> +3 to hit, reach 5 ft., one target. <i>Hit:</i> 3 (1d4+1) piercing damage plus 3 (1d6) fire damage.<br><br><i><b>Tail:</b> Melee Weapon Attack:</i> +3 to hit, reach 5 ft., one target. <i>Hit:</i> 3 (1d4+1) bludgeoning damage plus 3 (1d6) fire damage.; ; <i><b>Damage Vulnerabilities:</b></i> cold<br><br><i><b>Heated Body:</b></i> A creature that touches the snake or hits it with a melee attack while within 5 feet of it takes 3 (1d6) fire damage.
Sahuagin Baron; Large humanoid (sahuagin); lawful evil; 16; breastplate; 76; 9d10+27; 30 ft., swim 50 ft.; 19; 15; 16; 14; 13; 17; Dex +5, Con +6, Int +5, Wis +4; Perception +7; ; ; ; Darkvision 120 ft., PP 17; Sahuagin; 5; 1800; ; <i><b>Multiattack:</b></i> The sahuagin makes three attacks: one with his bite and two with his claws or trident.<br><br><i><b>Bite:</b> Melee Weapon Attack:</i> +7 to hit, reach 5 ft., one target. <i>Hit:</i> 9 (2d4+4) piercing damage.<br><br><i><b>Claws:</b> Melee Weapon Attack:</i> +7 to hit, reach 5 ft., one target. <i>Hit:</i> 11 (2d6+4) slashing damage.<br><br><i><b>Trident:</b> Melee or Ranged Weapon Attack:</i> +7 to hit, reach 5 ft. or range 20/60 ft., one target. <i>Hit:</i> 11 (2d6+4) piercing damage, or 13 (1d8+4) piercing damage if used with two hands to make a melee attack.; ; <i><b>Blood Frenzy:</b></i> The sahuagin has advantage on melee attack rolls against any creature that doesn't have all its hit points.<br><br><i><b>Limited Amphibiousness:</b></i> The sahuagin can breathe air and water, but it needs to be submerged at least once every 4 hours to avoid suffocating.<br><br><i><b>Shark Telepathy:</b></i> The sahuagin can magically command any shark within 120 feet of it, using a limited telepathy.
Sahuagin Priestess; Medium humanoid (sahuagin); lawful evil; 12; natural armor; 33; 6d8+6; 30 ft., swim 40 ft.; 13; 11; 12; 12; 14; 13; ; Perception +6, Religion +3; ; ; ; Darkvision 120 ft., PP 16; Sahuagin; 2; 450; ; <i><b>Multiattack:</b></i> The sahuagin makes two attacks: one with her bite and one with her claws.<br><br><i><b>Bite:</b> Melee Weapon Attack:</i> +3 to hit, reach 5 ft., one target. <i>Hit:</i> 3 (1d4+1) piercing damage.<br><br><i><b>Claws:</b> Melee Weapon Attack:</i> +3 to hit, reach 5 ft., one target. <i>Hit:</i> 3 (1d4+1) slashing damage.; ; <i><b>Blood Frenzy:</b></i> The sahuagin has advantage on melee attack rolls against any creature that doesn't have all its hit points.<br><br><i><b>Limited Amphibiousness:</b></i> The sahuagin can breathe air and water, but it needs to be submerged at least once every 4 hours to avoid suffocating.<br><br><i><b>Shark Telepathy:</b></i> The sahuagin can magically command any shark within 120 feet of it, using a limited telepathy.<br><br><i><b>Spellcasting:</b></i> The sahuagin is a 6th-level spellcaster. Her spellcasting ability is Wisdom (spell save DC 12, +4 to hit with spell attacks). She has the following cleric spells prepared:<br><br>Cantrips (at will): <i>guidance, thaumaturgy</i><br>1st level (4 slots): <i>bless, detect magic, guiding bolt</i><br>2nd level (3 slots): <i>hold person, spiritual weapon (trident)</i><br>3rd level (3 slots): <i>mass healing word, tongues</i>
Sahuagin; Medium humanoid (sahuagin); lawful evil; 12; natural armor; 22; 4d8+4; 30 ft., swim 40 ft.; 13; 11; 12; 12; 13; 9; ; Perception +5; ; ; ; Darkvision 120 ft., PP 15; Sahuagin; 1/2; 100; ; <i><b>Multiattack:</b></i> The sahuagin makes two melee attacks: one with its bite and one with its claws or spear.<br><br><i><b>Bite:</b> Melee Weapon Attack:</i> +3 to hit, reach 5 ft., one target. <i>Hit:</i> 3 (1d4+1) piercing damage.<br><br><i><b>Claws:</b> Melee Weapon Attack:</i> +3 to hit, reach 5 ft., one target. <i>Hit:</i> 3 (1d4+1) slashing damage.<br><br><i><b>Spear:</b> Melee or Ranged Weapon Attack:</i> +3 to hit, reach 5 ft. or range 20/60 ft., one target. <i>Hit:</i> 4 (1d6+1) piercing damage, or 5 (1d8+1) piercing damage if used with two hands to make a melee attack.; ; <i><b>Blood Frenzy:</b></i> The sahuagin has advantage on melee attack rolls against any creature that doesn't have all its hit points.<br><br><i><b>Limited Amphibiousness:</b></i> The sahuagin can breathe air and water, but it needs to be submerged at least once every 4 hours to avoid suffocating.<br><br><i><b>Shark Telepathy:</b></i> The sahuagin can magically command any shark within 120 feet of it, using a limited telepathy.
Rust Monster; Medium monstrosity; unaligned; 14; natural armor; 27; 5d8+5; 40 ft.; 13; 12; 13; 2; 13; 6; ; ; ; ; ; Darkvision 60 ft., PP 11; ---; 1/2; 100; ; <i><b>Bite:</b> Melee Weapon Attack:</i> +3 to hit, reach 5 ft., one target. <i>Hit:</i> 5 (1d8+1) piercing damage.<br><br><i><b>Antennae:</b></i> The rust monster corrodes a nonmagical ferrous metal object it can see within 5 feet of it. If the object isn't being worn or carried, the touch destroys a 1-foot cube of it. If the object is being worn or carried by a creature, the creature can make a DC 11 Dexterity saving throw to avoid the rust monster's touch.<br>If the object touched is either metal armor or a metal shield being worn or carried, its takes a permanent and cumulative -1 penalty to the AC it offers. Armor reduced to an AC of 10 or a shield that drops to a +0 bonus is destroyed. If the object touched is a held metal weapon, it rusts as described in the Rust Metal trait.; ; <i><b>Iron Scent:</b></i> The rust monster can pinpoint, by scent, the location offerrous metal within 30 feet of it.<br><br><i><b>Rust Metal:</b></i> Any non magical weapon made of metal that hits the rust monster corrodes. After dealing damage, the weapon takes a permanent and cumulative -1 penalty to damage rolls. If its penalty drops to -5, the weapon is destroyed. Non magical ammunition made of metal that hits the rust monster is destroyed after dealing damage.
Roper; Large monstrosity; neutral evil; 20; natural armor; 93; 11d10+33; 10 ft., climb 10 ft.; 18; 8; 17; 7; 16; 6; ; Perception +6, Stealth +5; ; ; ; Darkvision 60 ft., PP 16; ---; 5; 1800; ; <i><b>Multiattack:</b></i> The roper makes four attacks with its tendrils, uses Reel, and makes one attack with its bite.<br><br><i><b>Bite:</b> Melee Weapon Attack:</i> +7 to hit, reach 5 ft., one target. <i>Hit:</i> 22 (4d8+4) piercing damage.<br><br>Tendril:</b> Melee Weapon Attack:</i> +7 to hit, reach 50 ft., one creature. <i>Hit:</i> The target is grappled (escape DC 15). Until the grapple ends, the target is restrained and has disadvantage on Strength checks and Strength saving throws, and the roper can't use the same tendril on another target.<br><br><i><b>Reel:</b></i> The roper pulls each creature grappled by it up to 25 feet straight toward it.; ; <i><b>False Appearance:</b></i> While the roper remains motionless, it is indistinguishable from a normal cave formation, such as a stalagmite.<br><br><i><b>Grasping Tendrils:</b></i> The roper can have up to six tendrils at a time. Each tendril can be attacked (AC 20, 10 hit points, immunity to poison and psychic damage). Destroying a tendril deals no damage to the roper, which can extrude a replacement tendril on its next turn. A tendril can also be broken if a creature takes an action and succeeds on a DC 15 Strength check against it.<br><br><i><b>Spider Climb:</b></i> The roper can climb difficult surfaces, including upside down on ceilings, without needing to make an ability check.
Roc; Gargantuan monstrosity; unaligned; 15; natural armor; 248; 16d20+80; 20 ft., fly 120 ft.; 28; 10; 20; 3; 10; 9; Dex +4, Con +9, Wis +4, Cha +3; Perception +4; ; ; ; PP 14; ---; 11; 7200; ; <i><b>Multiattack:</b></i> The roc makes two attacks: one with its beak and one with its talons.<br><br><i><b>Beak:</b> Melee Weapon Attack:</i> +13 to hit, reach 10ft., one target. <i>Hit:</i> 27 (4d8+9) piercing damage.<br><br><i><b>Talons:</b> Melee Weapon Attack:</i> +13 to hit, reach 5 ft., one target. <i>Hit:</i> 23 (4d6+9) slashing damage, and the target is grappled (escape DC 19). Until this grapple ends, the target is restrained, and the roc can't use its talons on another target.; ; <i><b>Keen Sight:</b></i> The roc has advantage on Wisdom (Perception) checks that rely on sight.
Revenant; Medium undead; neutral; 13; leather armor; 136; 16d8+64; 30 ft.; 18; 14; 18; 13; 16; 18; Str+7, Con+7, Wis+6, Cha+7; ; necrotic, psychic; poison; charmed, exhaustion, frightened, paralyzed, poisoned, stunned; Darkvision 60 ft., PP 13; the languages it knew in life; 5; 1800; ; <i><b>Multiattack:</b></i> The revenant makes two fist attacks.<br><br><i><b>Fist:</b> Melee Weapon Attack:</i> +7 to hit, reach 5 ft., one target. <i>Hit:</i> 11 (2d6+4) bludgeoning damage. If the target is a creature against which the revenant has sworn vengeance, the target takes an extra 14 (4d6) bludgeoning damage. Instead of dealing damage, the revenant can grapple the target (escape DC 14) provided the target is Large or smaller.<br><br><i><b>Vengeful Glare:</b></i> The revenant targets one creature it can see within 30 feet of it and against which it has sworn vengeance. The target must make a DC 15 Wisdom saving throw. On a failure, the target is paralyzed until the revenant deals damage to it, or until the end of the revenant's next turn. When the paralysis ends, the target is frightened of the revenant for 1 minute. The frightened target can repeat the saving throw at the end of each of its turns, with disadvantage if it can see the revenant, ending the frightened condition on itself on a success.; ; <i><b>Regeneration:</b></i> The revenant regains 10 hit points at the start of its turn. If the revenant takes fire or radiant damage, this trait doesn't function at the start of the revenant's next turn. The revenant's body is destroyed only if it starts its turn with 0 hit points and doesn't regenerate.<br><i><b>Rejuvenation:</b></i> When the revenant's body is destroyed, its soul lingers. After 24 hours, the soul inhabits and animates another corpse on the same plane of existence and regains all its hit points. While the soul is bodiless, a wish spell can be used to force the soul to go to the afterlife and not return.<br><i><b>Turn Immunity:</b></i> The revenant is immune to effects that turn undead.<br><i><b>Vengeful Tracker:</b></i> The revenant knows the distance to and direction of any creature against which it seeks revenge, even if the creature and the revenant are on different planes of existence. If the creature being tracked by the revenant dies, the revenant knows.
Remorhaz; Huge monstrosity; unaligned; 17; natural armor; 195; 17d12+85; 30 ft., burrow 20 ft.; 24; 13; 21; 4; 10; 5; ; ; ; cold, fire; ; Darkvision 60 ft., Tremorsense 60 ft. PP 10; ---; 11; 7200; ; <i><b>Bite:</b> Melee Weapon Attack:</i> +11 to hit, reach 10 ft., one target. <i>Hit:</i> 40 (6d10+7) piercing damage plus 10 (3d6) fire damage. If the target is a creature, it is grappled (escape DC 17). Until this grapple ends, the target is restrained, and the remorhaz can't bite another target.<br><br><i><b>Swallow:</b></i> The remorhaz makes one bite attack against a Medium or smaller creature it is grappling. If the attack hits, that creature takes the bite's damage and is swallowed, and the grapple ends. While swallowed, the creature is blinded and restrained, it has total cover against attacks and other effects outside the remorhaz, and it takes 21 (6d6) acid damage at the start of each of the remorhaz's turns.<br>If the remorhaz takes 30 damage or more on a single turn from a creature inside it, the remorhaz must succeed on a DC 15 Constitution saving throw at the end of that turn or regurgitate all swallowed creatures, which fall prone in a space within 10 feet oft he remorhaz. If the remorhaz dies, a swallowed creature is no longer restrained by it and can escape from the corpse using 15 feet of movement, exiting prone.; ; <i><b>Heated Body:</b></i> A creature that touches the remorhaz or hits it with a melee attack while within 5 feet of it takes 10 (3d6) fire damage.
